date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
11/15/2013,2014,0,,IND,MIL,1625.85,1429.9852,0.845943701,0.154056299,1630.8976,1424.9376,,,,,,,,,,,104,77,56,,
11/15/2013,2014,0,,PHO,BRK,1431.5156,1497.5377,0.548742834,0.451257166,1426.0646,1502.9888,,,,,,,,,,,98,100,30,,
11/15/2013,2014,0,,CLE,CHO,1357.7765,1366.5562,0.628341003,0.371658997,1347.2939,1377.0387,,,,,,,,,,,80,86,3,,
11/15/2013,2014,0,,MIA,DAL,1686.4232,1544.2731,0.80121859,0.19878141,1688.9985,1541.6978,,,,,,,,,,,110,104,90,,
11/15/2013,2014,0,,UTA,SAS,1446.92,1703.109,0.289236273,0.710763727,1441.9147,1708.1144,,,,,,,,,,,82,91,75,,
11/16/2013,2014,0,,MIL,OKC,1424.9376,1628.96,0.354618038,0.645381962,1416.9152,1636.9824,,,,,,,,,,,79,92,55,,
11/16/2013,2014,0,,LAC,BRK,1609.4738,1502.9888,0.766494736,0.233505264,1612.8456,1499.6169,,,,,,,,,,,110,103,71,,
11/16/2013,2014,0,,NYK,ATL,1532.4873,1498.4052,0.683918488,0.316081512,1507.3896,1523.5028,,,,,,,,,,,90,110,53,,
11/16/2013,2014,0,,CHO,MIA,1377.0387,1688.9985,0.227912045,0.772087955,1371.5596,1694.4777,,,,,,,,,,,81,97,54,,
11/16/2013,2014,0,,GSW,UTA,1595.3452,1441.9147,0.811358747,0.188641253,1599.3798,1437.8801,,,,,,,,,,,102,88,53,,
11/16/2013,2014,0,,CHI,IND,1543.2295,1630.8976,0.517739582,0.482260418,1556.6569,1617.4702,,,,,,,,,,,110,94,82,,
11/16/2013,2014,0,,HOU,DEN,1560.2164,1581.9523,0.610763902,0.389236098,1568.2834,1573.8853,,,,,,,,,,,122,111,77,,
11/16/2013,2014,0,,ORL,DAL,1357.5162,1541.6978,0.381169265,0.618830735,1351.0315,1548.1825,,,,,,,,,,,100,108,22,,
11/16/2013,2014,0,,NOP,PHI,1422.4429,1442.3201,0.613304482,0.386695518,1440.9784,1423.7845,,,,,,,,,,,135,98,18,,
11/16/2013,2014,0,,WAS,CLE,1456.2404,1347.2939,0.769021224,0.230978776,1440.7042,1362.8301,,,,,,,,,,,96,103,9,,
11/16/2013,2014,0,,MIN,BOS,1525.8959,1451.1857,0.732180291,0.267819709,1533.0535,1444.0281,,,,,,,,,,,106,88,40,,
11/17/2013,2014,0,,LAL,DET,1468.4286,1413.6906,0.709043587,0.290956413,1475.4001,1406.719,,,,,,,,,,,114,99,21,,
11/17/2013,2014,0,,TOR,POR,1493.2053,1494.5765,0.638244533,0.361755467,1480.6229,1507.1589,,,,,,,,,,,110,118,43,,
11/17/2013,2014,0,,SAC,MEM,1405.1166,1560.9252,0.420368676,0.579631324,1396.2545,1569.7872,,,,,,,,,,,86,97,37,,
11/18/2013,2014,0,,CHI,CHO,1556.6569,1371.5596,0.837691627,0.162308373,1558.5171,1369.6993,,,,,,,,,,,86,81,27,,
11/18/2013,2014,0,,UTA,GSW,1437.8801,1599.3798,0.412407745,0.587592255,1429.2236,1608.0363,,,,,,,,,,,87,98,53,,
11/18/2013,2014,0,,OKC,DEN,1636.9824,1573.8853,0.718869806,0.281130194,1639.3856,1571.4821,,,,,,,,,,,115,113,88,,
11/18/2013,2014,0,,BRK,POR,1499.6169,1507.1589,0.630003314,0.369996686,1485.4968,1521.2791,,,,,,,,,,,98,108,47,,
11/18/2013,2014,0,,DAL,PHI,1548.1825,1423.7845,0.784441341,0.215558659,1550.2258,1421.7412,,,,,,,,,,,97,94,39,,
11/18/2013,2014,0,,LAC,MEM,1612.8456,1569.7872,0.694980981,0.305019019,1602.9188,1579.714,,,,,,,,,,,102,106,84,,
11/19/2013,2014,0,,MIA,ATL,1694.4777,1523.5028,0.82633282,0.17366718,1698.4907,1519.4897,,,,,,,,,,,104,88,88,,
11/19/2013,2014,0,,DET,NYK,1406.719,1507.3896,0.49903493,0.50096507,1414.4708,1499.6378,,,,,,,,,,,92,86,26,,
11/19/2013,2014,0,,HOU,BOS,1568.2834,1444.0281,0.784302407,0.215697593,1575.095,1437.2166,,,,,,,,,,,109,85,47,,
11/19/2013,2014,0,,SAC,PHO,1396.2545,1426.0646,0.599659256,0.400340744,1400.4928,1421.8263,,,,,,,,,,,107,104,12,,
11/19/2013,2014,0,,WAS,MIN,1440.7042,1533.0535,0.511008463,0.488991537,1446.8517,1526.906,,,,,,,,,,,104,100,39,,
11/20/2013,2014,0,,PHI,TOR,1421.7412,1480.6229,0.558899261,0.441100739,1409.7467,1492.6174,,,,,,,,,,,98,108,25,,
11/20/2013,2014,0,,GSW,MEM,1608.0363,1579.714,0.676707696,0.323292304,1595.3477,1592.4026,,,,,,,,,,,81,88,85,,
11/20/2013,2014,0,,DAL,HOU,1550.2258,1575.095,0.60646754,0.39353246,1554.3766,1570.9442,,,,,,,,,,,123,120,74,,
11/20/2013,2014,0,,MIL,POR,1416.9152,1521.2791,0.493720173,0.506279827,1407.337,1530.8572,,,,,,,,,,,82,91,31,,
11/20/2013,2014,0,,NOP,UTA,1440.9784,1429.2236,0.655501836,0.344498164,1446.2991,1423.903,,,,,,,,,,,105,98,19,,
11/20/2013,2014,0,,NYK,IND,1499.6378,1617.4702,0.474359625,0.525640375,1491.7687,1625.3394,,,,,,,,,,,96,103,72,,
11/20/2013,2014,0,,CHO,BRK,1369.6993,1485.4968,0.477281224,0.522718776,1376.3958,1478.8004,,,,,,,,,,,95,91,16,,
11/20/2013,2014,0,,MIN,LAC,1526.906,1602.9188,0.534465612,0.465534388,1520.0134,1609.8114,,,,,,,,,,,98,102,75,,
11/20/2013,2014,0,,ATL,DET,1519.4897,1414.4708,0.764980824,0.235019176,1523.156,1410.8046,,,,,,,,,,,93,85,30,,
11/20/2013,2014,0,,CLE,WAS,1362.8301,1446.8517,0.522978568,0.477021432,1353.9167,1455.765,,,,,,,,,,,91,98,10,,
